C1,banner_pos,C14,C15,C16,C17,C18,C19,C20,C21
,,21609,,,,,,,
,,23455,,,,,,,
,,23672,,,,,,,
,,21842,,,,,,,
,,18539,,,,,,,
,,22628,,,,,,,
,,23917,,,,,,,
,,21569,,,,,,,
,,20129,,,,,,,
,,21159,,,,,,,
,,22801,,,,,,,
,,23879,,,,,,,
,,22326,,,,,,,
,,24001,,,,,,,
,,24005,,,,,,,
,,21673,,,,,,,
,,23419,,,,,,,
,,21399,,,,,,,
,,23182,,,,,,,
,,20004,,,,,,,
,,23058,,,,,,,
,,24008,,,,,,,
,,19595,,,,,,,
,,19594,,,,,,,
,,21161,,,,,,,
,,23661,,,,,,,
,,16403,,,,,,,
,,22294,,,,,,,
,,20147,,,,,,,
,,16405,,,,,,,
,,22841,,,,,,,
,,19749,,,,,,,
,,21987,,,,,,,
,,22162,,,,,,,
,,17759,,,,,,,
,,22794,,,,,,,
,,21311,,,,,,,
,,15503,,,,,,,
,,22705,,,,,,,
,,21702,,,,,,,
,,22119,,,,,,,
,,22264,,,,,,,
,,23123,,,,,,,
,,6992,,,,,,,
,,21988,,,,,,,
,,20292,,,,,,,
,,21137,,,,,,,
,,23692,,,,,,,
,,19278,,,,,,,
,,23908,,,,,,,
,,23756,,,,,,,
,,20145,,,,,,,
,,22318,,,,,,,
,,7702,,,,,,,
,,22186,,,,,,,
,,21915,,,,,,,
,,22303,,,,,,,
,,19988,,,,,,,
,,20146,,,,,,,
,,21887,,,,,,,
,,21851,,,,,,,
,,21623,,,,,,,
,,22325,,,,,,,
,,23998,,,,,,,
,,23923,,,,,,,
,,16932,,,,,,,
,,18573,,,,,,,
,,22943,,,,,,,
,,22771,,,,,,,
,,23207,,,,,,,
,,23897,,,,,,,
,,16250,,,,,,,
,,21330,,,,,,,
,,22550,,,,,,,
,,16343,,,,,,,
,,23700,,,,,,,
,,21992,,,,,,,
,,17757,,,,,,,
,,22176,,,,,,,
,,22493,,,,,,,
,,20152,,,,,,,
,,18454,,,,,,,
,,24009,,,,,,,
,,22001,,,,,,,
,,22085,,,,,,,
,,21999,,,,,,,
,,22942,,,,,,,
,,22637,,,,,,,
,,21595,,,,,,,
,,17670,,,,,,,
,,22601,,,,,,,
,,23716,,,,,,,
,,23825,,,,,,,
,,22960,,,,,,,
,,22747,,,,,,,
,,22293,,,,,,,
,,21744,,,,,,,
,,22220,,,,,,,
,,23228,,,,,,,
,,21633,,,,,,,
,,23663,,,,,,,
,,22905,,,,,,,
,,21192,,,,,,,
,,19744,,,,,,,
,,22998,,,,,,,
,,23219,,,,,,,
,,8334,,,,,,,
,,21621,,,,,,,
,,21752,,,,,,,
,,22542,,,,,,,
,,22807,,,,,,,
,,21686,,,,,,,
,,21848,,,,,,,
,,21890,,,,,,,
,,15511,,,,,,,
,,22759,,,,,,,
,,22407,,,,,,,
,,21982,,,,,,,
,,24033,,,,,,,
,,22591,,,,,,,
,,23918,,,,,,,
,,22545,,,,,,,
,,23896,,,,,,,
,,8996,,,,,,,
,,22770,,,,,,,
,,21958,,,,,,,
,,22066,,,,,,,
,,22027,,,,,,,
,,22754,,,,,,,
,,22632,,,,,,,
,,22296,,,,,,,
,,21618,,,,,,,
,,15512,,,,,,,
,,22789,,,,,,,
,,15386,,,,,,,
,,15017,,,,,,,
,,22648,,,,,,,
,,21817,,,,,,,
,,22336,,,,,,,
,,21896,,,,,,,
,,22858,,,,,,,
,,22170,,,,,,,
,,22629,,,,,,,
,,23935,,,,,,,
,,23021,,,,,,,
,,24002,,,,,,,
,,14267,,,,,,,
,,21755,,,,,,,
,,21246,,,,,,,
,,18468,,,,,,,
,,21562,,,,,,,
,,23744,,,,,,,
,,23710,,,,,,,
,,23910,,,,,,,
,,23824,,,,,,,
,,7024,,,,,,,
,,20135,,,,,,,
,,21990,,,,,,,
,,23842,,,,,,,
,,19741,,,,,,,
,,22928,,,,,,,
,,23106,,,,,,,
,,21194,,,,,,,
,,10740,,,,,,,
,,17209,,,,,,,
,,7693,,,,,,,
,,22155,,,,,,,
,,21997,,,,,,,
,,23874,,,,,,,
,,23761,,,,,,,
,,22981,,,,,,,
,,23193,,,,,,,
,,21560,,,,,,,
,,22343,,,,,,,
,,13558,,,,,,,
,,19865,,,,,,,
,,22806,,,,,,,
,,23216,,,,,,,
,,21568,,,,,,,
,,23159,,,,,,,
,,1275,,,,,,,
,,15829,,,,,,,
,,23715,,,,,,,
,,9436,,,,,,,
,,22144,,,,,,,
,,23208,,,,,,,
,,17026,,,,,,,
,,23013,,,,,,,
,,23798,,,,,,,
,,22778,,,,,,,
,,21850,,,,,,,
,,18461,,,,,,,
,,21404,,,,,,,
,,13560,,,,,,,
,,23375,,,,,,,
,,15575,,,,,,,
,,23861,,,,,,,
,,21766,,,,,,,
,,20390,,,,,,,
,,23911,,,,,,,
,,23881,,,,,,,
,,22202,,,,,,,
,,15513,,,,,,,
,,23046,,,,,,,
,,22000,,,,,,,
,,17671,,,,,,,
,,22097,,,,,,,
,,6400,,,,,,,
,,23906,,,,,,,
,,23777,,,,,,,
,,11325,,,,,,,
,,21616,,,,,,,
,,9463,,,,,,,
,,15005,,,,,,,
,,20131,,,,,,,
,,21563,,,,,,,
,,21614,,,,,,,
,,22786,,,,,,,
,,20364,,,,,,,
,,23925,,,,,,,
,,21888,,,,,,,
,,21971,,,,,,,
,,22779,,,,,,,
,,22177,,,,,,,
,,20144,,,,,,,
,,15841,,,,,,,
,,22775,,,,,,,
,,23720,,,,,,,
,,15539,,,,,,,
,,22465,,,,,,,
,,23198,,,,,,,
,,18954,,,,,,,
,,22269,,,,,,,
,,22163,,,,,,,
,,22792,,,,,,,
,,22314,,,,,,,
,,21478,,,,,,,
,,21705,,,,,,,
,,21849,,,,,,,
,,23146,,,,,,,
,,23102,,,,,,,
,,23439,,,,,,,
,,22802,,,,,,,
,,23641,,,,,,,
,,22766,,,,,,,
,,23118,,,,,,,
,,19370,,,,,,,
,,21737,,,,,,,
,,22338,,,,,,,
,,23363,,,,,,,
,,23877,,,,,,,
,,22024,,,,,,,
,,21485,,,,,,,
,,9014,,,,,,,
,,23880,,,,,,,
,,22931,,,,,,,
,,22311,,,,,,,
,,15504,,,,,,,
,,23145,,,,,,,
,,23689,,,,,,,
,,22941,,,,,,,
,,22295,,,,,,,
,,22467,,,,,,,
,,22451,,,,,,,
,,23435,,,,,,,
,,23665,,,,,,,
,,21241,,,,,,,
,,21205,,,,,,,
,,23684,,,,,,,
,,22256,,,,,,,
,,23648,,,,,,,
,,22726,,,,,,,
,,21794,,,,,,,
,,22301,,,,,,,
,,21243,,,,,,,
,,21885,,,,,,,
,,22459,,,,,,,
,,22136,,,,,,,
,,23024,,,,,,,
,,22999,,,,,,,
,,23811,,,,,,,
,,15839,,,,,,,
,,20149,,,,,,,
,,22551,,,,,,,
,,22653,,,,,,,
,,22480,,,,,,,
,,23209,,,,,,,
,,23882,,,,,,,
,,22019,,,,,,,
,,21655,,,,,,,
,,23026,,,,,,,
,,21326,,,,,,,
,,18316,,,,,,,
,,22944,,,,,,,
,,19176,,,,,,,
,,22704,,,,,,,
,,21701,,,,,,,
,,23060,,,,,,,
,,21707,,,,,,,
,,22922,,,,,,,
,,23251,,,,,,,
,,22265,,,,,,,
,,22185,,,,,,,
,,19999,,,,,,,
,,20294,,,,,,,
,,21300,,,,,,,
,,22835,,,,,,,
,,22934,,,,,,,
,,22543,,,,,,,
,,15505,,,,,,,
,,23119,,,,,,,
,,23931,,,,,,,
,,15543,,,,,,,
,,23195,,,,,,,
,,19740,,,,,,,
,,23395,,,,,,,
,,9016,,,,,,,
,,23901,,,,,,,
,,23683,,,,,,,
,,22997,,,,,,,
,,22168,,,,,,,
,,21670,,,,,,,
,,23659,,,,,,,
,,22302,,,,,,,
,,23000,,,,,,,
,,14266,,,,,,,
,,20284,,,,,,,
,,22752,,,,,,,
,,19178,,,,,,,
,,16152,,,,,,,
,,23903,,,,,,,
,,10742,,,,,,,
,,22838,,,,,,,
,,23147,,,,,,,
,,19593,,,,,,,
,,13556,,,,,,,
,,21741,,,,,,,
,,20133,,,,,,,
,,1269,,,,,,,
,,23087,,,,,,,
,,18314,,,,,,,
,,21240,,,,,,,
,,23907,,,,,,,
,,18472,,,,,,,
,,15390,,,,,,,
,,22879,,,,,,,
,,23831,,,,,,,
,,18570,,,,,,,
,,23440,,,,,,,
,,22740,,,,,,,
,,22297,,,,,,,
,,23049,,,,,,,
,,22979,,,,,,,
,,23001,,,,,,,
,,23938,,,,,,,
,,22938,,,,,,,
,,23653,,,,,,,
,,12043,,,,,,,
,,22421,,,,,,,
,,18924,,,,,,,
,,22869,,,,,,,
,,22084,,,,,,,
,,15385,,,,,,,
,,22200,,,,,,,
,,23328,,,,,,,
,,19742,,,,,,,
,,20002,,,,,,,
,,15515,,,,,,,
,,22761,,,,,,,
,,22310,,,,,,,
,,23830,,,,,,,
,,23152,,,,,,,
,,22762,,,,,,,
,,23047,,,,,,,
,,21625,,,,,,,
,,22373,,,,,,,
,,21955,,,,,,,
,,23926,,,,,,,
,,17171,,,,,,,
,,20290,,,,,,,
,,23876,,,,,,,
,,22466,,,,,,,
,,21898,,,,,,,
,,22730,,,,,,,
,,22328,,,,,,,
,,21918,,,,,,,
,,21765,,,,,,,
,,23200,,,,,,,
,,21748,,,,,,,
,,23402,,,,,,,
,,7714,,,,,,,
,,22776,,,,,,,
,,22179,,,,,,,
,,23936,,,,,,,
,,23429,,,,,,,
,,7712,,,,,,,
,,23044,,,,,,,
,,8392,,,,,,,
,,20262,,,,,,,
,,20291,,,,,,,
,,21556,,,,,,,
,,14988,,,,,,,
,,23815,,,,,,,
,,20510,,,,,,,
,,22405,,,,,,,
,,23913,,,,,,,
,,23912,,,,,,,
,,22003,,,,,,,
,,21197,,,,,,,
,,23666,,,,,,,
,,23571,,,,,,,
,,21313,,,,,,,
,,17444,,,,,,,
,,22908,,,,,,,
,,1266,,,,,,,
,,22519,,,,,,,
,,21889,,,,,,,
,,23837,,,,,,,
,,23909,,,,,,,
,,15838,,,,,,,
,,22380,,,,,,,
,,22151,,,,,,,
,,451,,,,,,,
,,23770,,,,,,,
,,9803,,,,,,,
,,22764,,,,,,,
,,22222,,,,,,,
,,22860,,,,,,,
,,22549,,,,,,,
,,10738,,,,,,,
,,9437,,,,,,,
,,23043,,,,,,,
,,22126,,,,,,,
,,9335,,,,,,,
,,23865,,,,,,,
,,22362,,,,,,,
,,22656,,,,,,,
,,13555,,,,,,,
,,22857,,,,,,,
,,21979,,,,,,,
,,24042,,,,,,,
,,22783,,,,,,,
,,21774,,,,,,,
,,22728,,,,,,,
,,21777,,,,,,,
,,22147,,,,,,,
,,23550,,,,,,,
,,21995,,,,,,,
,,21795,,,,,,,
,,23153,,,,,,,
,,21956,,,,,,,
,,22904,,,,,,,
,,22586,,,,,,,
,,21812,,,,,,,
,,23765,,,,,,,
,,21570,,,,,,,
,,23919,,,,,,,
,,23674,,,,,,,
,,15827,,,,,,,
,,22115,,,,,,,
,,23996,,,,,,,
,,18493,,,,,,,
,,22655,,,,,,,
,,22805,,,,,,,
,,23937,,,,,,,
,,22790,,,,,,,
,,22787,,,,,,,
,,21202,,,,,,,
,,21331,,,,,,,
,,23447,,,,,,,
,,21698,,,,,,,
,,21954,,,,,,,
,,12469,,,,,,,
,,23403,,,,,,,
,,22639,,,,,,,
,,7023,,,,,,,
,,1272,,,,,,,
,,23376,,,,,,,
,,21671,,,,,,,
,,14985,,,,,,,
,,22737,,,,,,,
,,23902,,,,,,,
,,20617,,,,,,,
,,22280,,,,,,,
,,11993,,,,,,,
,,7708,,,,,,,
,,23444,,,,,,,
,,18947,,,,,,,
,,22851,,,,,,,
,,18529,,,,,,,
,,21201,,,,,,,
,,22290,,,,,,,
,,22795,,,,,,,
,,22299,,,,,,,
,,23895,,,,,,,
,,20286,,,,,,,
,,23624,,,,,,,
,,14136,,,,,,,
,,23342,,,,,,,
,,22980,,,,,,,
,,23210,,,,,,,
,,23404,,,,,,,
,,23148,,,,,,,
,,376,,,,,,,
,,23638,,,,,,,
,,21695,,,,,,,
,,21484,,,,,,,
,,18860,,,,,,,
,,23041,,,,,,,
,,22872,,,,,,,
,,21960,,,,,,,
,,22307,,,,,,,
,,22774,,,,,,,
,,23826,,,,,,,
,,22503,,,,,,,
,,23750,,,,,,,
,,23922,,,,,,,
,,10895,,,,,,,
,,22748,,,,,,,
,,22921,,,,,,,
,,23178,,,,,,,
,,22020,,,,,,,
,,23151,,,,,,,
,,22309,,,,,,,
,,21565,,,,,,,
,,23507,,,,,,,
,,22930,,,,,,,
,,22640,,,,,,,
,,23349,,,,,,,
,,21690,,,,,,,
,,15544,,,,,,,
,,23158,,,,,,,
,,22240,,,,,,,
,,23859,,,,,,,
,,17208,,,,,,,
,,23039,,,,,,,
,,23176,,,,,,,
,,20543,,,,,,,
,,21634,,,,,,,
,,1270,,,,,,,
,,21332,,,,,,,
,,22548,,,,,,,
,,22064,,,,,,,
,,15506,,,,,,,
,,21296,,,,,,,
,,23916,,,,,,,
,,22089,,,,,,,
,,22657,,,,,,,
,,22893,,,,,,,
,,18949,,,,,,,
,,22907,,,,,,,
,,12200,,,,,,,
,,22645,,,,,,,
,,22868,,,,,,,
,,21245,,,,,,,
,,23832,,,,,,,
,,22277,,,,,,,
,,15550,,,,,,,
,,18447,,,,,,,
,,12219,,,,,,,
,,22555,,,,,,,
,,22984,,,,,,,
,,23192,,,,,,,
,,22772,,,,,,,
,,18474,,,,,,,
,,18945,,,,,,,
,,23717,,,,,,,
,,18501,,,,,,,
,,19418,,,,,,,
,,22826,,,,,,,
,,18572,,,,,,,
,,21481,,,,,,,
,,23427,,,,,,,
,,15016,,,,,,,
,,8395,,,,,,,
,,23231,,,,,,,
,,15510,,,,,,,
,,23065,,,,,,,
,,11994,,,,,,,
,,23834,,,,,,,
,,23686,,,,,,,
,,22408,,,,,,,
,,19436,,,,,,,
,,20509,,,,,,,
,,7699,,,,,,,
,,23223,,,,,,,
,,22083,,,,,,,
,,22245,,,,,,,
,,23314,,,,,,,
,,21693,,,,,,,
,,21244,,,,,,,
,,23335,,,,,,,
,,21325,,,,,,,
,,21919,,,,,,,
,,23690,,,,,,,
,,22494,,,,,,,
,,21994,,,,,,,
,,7704,,,,,,,
,,21622,,,,,,,
,,22181,,,,,,,
,,18571,,,,,,,
,,23469,,,,,,,
,,18568,,,,,,,
,,21482,,,,,,,
,,22474,,,,,,,
,,22329,,,,,,,
,,23214,,,,,,,
,,22862,,,,,,,
,,20000,,,,,,,
,,22906,,,,,,,
,,22406,,,,,,,
,,22971,,,,,,,
,,23932,,,,,,,
,,18500,,,,,,,
,,22654,,,,,,,
,,22986,,,,,,,
,,23727,,,,,,,
,,22911,,,,,,,
,,22727,,,,,,,
,,23718,,,,,,,
,,1268,,,,,,,
,,22890,,,,,,,
,,13561,,,,,,,
,,15517,,,,,,,
,,22068,,,,,,,
,,21483,,,,,,,
,,18859,,,,,,,
,,20353,,,,,,,
,,12021,,,,,,,
,,21962,,,,,,,
,,21162,,,,,,,
,,22122,,,,,,,
,,23446,,,,,,,
,,15384,,,,,,,
,,23408,,,,,,,
,,22932,,,,,,,
,,23784,,,,,,,
,,9798,,,,,,,
,,17156,,,,,,,
,,22183,,,,,,,
,,23828,,,,,,,
,,22856,,,,,,,
,,22422,,,,,,,
,,12222,,,,,,,
,,21318,,,,,,,
,,18464,,,,,,,
,,23025,,,,,,,
,,22969,,,,,,,
,,21692,,,,,,,
,,23875,,,,,,,
,,20731,,,,,,,
,,16154,,,,,,,
,,22828,,,,,,,
,,18504,,,,,,,
,,22849,,,,,,,
,,23432,,,,,,,
,,22833,,,,,,,
,,23175,,,,,,,
,,23929,,,,,,,
,,17786,,,,,,,
,,7694,,,,,,,
,,22065,,,,,,,
,,21730,,,,,,,
,,15516,,,,,,,
,,22973,,,,,,,
,,20478,,,,,,,
,,18952,,,,,,,
,,21599,,,,,,,
,,22834,,,,,,,
,,22150,,,,,,,
,,15387,,,,,,,
,,21880,,,,,,,
,,22266,,,,,,,
,,22902,,,,,,,
,,23606,,,,,,,
,,18432,,,,,,,
,,23687,,,,,,,
,,23637,,,,,,,
,,22636,,,,,,,
,,22781,,,,,,,
,,22649,,,,,,,
,,23803,,,,,,,
,,22852,,,,,,,
,,21333,,,,,,,
,,23928,,,,,,,
,,14141,,,,,,,
,,22361,,,,,,,
,,22836,,,,,,,
,,18985,,,,,,,
,,23841,,,,,,,
,,18444,,,,,,,
,,16341,,,,,,,
,,22228,,,,,,,
,,22837,,,,,,,
,,10532,,,,,,,
,,23420,,,,,,,
,,22057,,,,,,,
,,22875,,,,,,,
,,7697,,,,,,,
,,22886,,,,,,,
,,18405,,,,,,,
,,15847,,,,,,,
,,18403,,,,,,,
,,23056,,,,,,,
,,22069,,,,,,,
,,7700,,,,,,,
,,22067,,,,,,,
,,15010,,,,,,,
,,23286,,,,,,,
,,21699,,,,,,,
,,22652,,,,,,,
,,22282,,,,,,,
,,18462,,,,,,,
,,21873,,,,,,,
,,19284,,,,,,,
,,9015,,,,,,,
,,21314,,,,,,,
,,21136,,,,,,,
,,22342,,,,,,,
,,11143,,,,,,,
,,23840,,,,,,,
,,23633,,,,,,,
,,21635,,,,,,,
,,1276,,,,,,,
,,21312,,,,,,,
,,20626,,,,,,,
,,23664,,,,,,,
,,11268,,,,,,,
,,22966,,,,,,,
,,23634,,,,,,,
,,21779,,,,,,,
,,11145,,,,,,,
,,21696,,,,,,,
,,7711,,,,,,,
,,22854,,,,,,,
,,23448,,,,,,,
,,23495,,,,,,,
,,22940,,,,,,,
,,21953,,,,,,,
,,15508,,,,,,,
,,23418,,,,,,,
,,23788,,,,,,,
,,22859,,,,,,,
,,22572,,,,,,,
,,19745,,,,,,,
,,21881,,,,,,,
,,9805,,,,,,,
,,22180,,,,,,,
,,22123,,,,,,,
,,23801,,,,,,,
,,23662,,,,,,,
,,21897,,,,,,,
,,11142,,,,,,,
,,11191,,,,,,,
,,19368,,,,,,,
,,18533,,,,,,,
,,23445,,,,,,,
,,18530,,,,,,,
,,21486,,,,,,,
,,12202,,,,,,,
,,10741,,,,,,,
,,9334,,,,,,,
,,23667,,,,,,,
,,18950,,,,,,,
,,21846,,,,,,,
,,22353,,,,,,,
,,22333,,,,,,,
,,23589,,,,,,,
,,19638,,,,,,,
,,22456,,,,,,,
,,20541,,,,,,,
,,23802,,,,,,,
,,18536,,,,,,,
,,23585,,,,,,,
,,1267,,,,,,,
,,22230,,,,,,,
,,18494,,,,,,,
,,22724,,,,,,,
,,22891,,,,,,,
,,23453,,,,,,,
,,23007,,,,,,,
,,22917,,,,,,,
,,21780,,,,,,,
,,23719,,,,,,,
,,18457,,,,,,,
,,23592,,,,,,,
,,23003,,,,,,,
,,11144,,,,,,,
,,15514,,,,,,,
,,23392,,,,,,,
,,18490,,,,,,,
,,23838,,,,,,,
,,23791,,,,,,,
,,18577,,,,,,,
,,22782,,,,,,,
,,21900,,,,,,,
,,22279,,,,,,,
,,21967,,,,,,,
,,21899,,,,,,,
,,23177,,,,,,,
,,23627,,,,,,,
,,18922,,,,,,,
,,22995,,,,,,,
,,21479,,,,,,,
,,18430,,,,,,,
,,22888,,,,,,,
,,21157,,,,,,,
,,14142,,,,,,,
,,10898,,,,,,,
,,22780,,,,,,,
,,18419,,,,,,,
,,18569,,,,,,,
,,23620,,,,,,,
,,22477,,,,,,,
,,22646,,,,,,,
,,12004,,,,,,,
,,22499,,,,,,,
,,12012,,,,,,,
,,21902,,,,,,,
,,21968,,,,,,,
,,22884,,,,,,,
,,12016,,,,,,,
,,22829,,,,,,,
,,18585,,,,,,,
,,7698,,,,,,,
,,15509,,,,,,,
,,21843,,,,,,,
,,23519,,,,,,,
,,23131,,,,,,,
,,23356,,,,,,,
,,11188,,,,,,,
,,23220,,,,,,,
,,21895,,,,,,,
,,23669,,,,,,,
,,22088,,,,,,,
,,22281,,,,,,,
,,18538,,,,,,,
,,23023,,,,,,,
,,22670,,,,,,,
,,19633,,,,,,,
,,15541,,,,,,,
,,15542,,,,,,,
,,22642,,,,,,,
,,22351,,,,,,,
,,22573,,,,,,,
,,22751,,,,,,,
,,22866,,,,,,,
,,22095,,,,,,,
,,21668,,,,,,,
,,21669,,,,,,,
,,18578,,,,,,,
,,23927,,,,,,,
,,19634,,,,,,,
,,22876,,,,,,,
,,22945,,,,,,,
,,21317,,,,,,,
,,22630,,,,,,,
,,23005,,,,,,,
,,23117,,,,,,,
,,22171,,,,,,,
,,22643,,,,,,,
,,22660,,,,,,,
,,22887,,,,,,,
,,23833,,,,,,,
,,23431,,,,,,,
,,23212,,,,,,,
,,23135,,,,,,,
,,18473,,,,,,,
,,15545,,,,,,,
,,22334,,,,,,,
,,23372,,,,,,,
,,8437,,,,,,,
,,21716,,,,,,,
,,12229,,,,,,,
,,22840,,,,,,,
,,21369,,,,,,,
,,23636,,,,,,,
,,22706,,,,,,,
,,23370,,,,,,,
,,22546,,,,,,,
,,7709,,,,,,,
,,23053,,,,,,,
,,18465,,,,,,,
,,23062,,,,,,,
,,23489,,,,,,,
,,22501,,,,,,,
,,20150,,,,,,,
,,19881,,,,,,,
,,23668,,,,,,,
,,21608,,,,,,,
,,15551,,,,,,,
,,21717,,,,,,,
,,22983,,,,,,,
,,15546,,,,,,,
,,21952,,,,,,,
,,22358,,,,,,,
,,10536,,,,,,,
,,19635,,,,,,,
,,13557,,,,,,,
,,21970,,,,,,,
,,22018,,,,,,,
,,21704,,,,,,,
,,20130,,,,,,,
,,21319,,,,,,,
,,22898,,,,,,,
,,18450,,,,,,,
,,22470,,,,,,,
,,23184,,,,,,,
,,7696,,,,,,,
,,22878,,,,,,,
,,23740,,,,,,,
,,23839,,,,,,,
,,14198,,,,,,,
,,22708,,,,,,,
,,18564,,,,,,,
,,22855,,,,,,,
,,22086,,,,,,,
,,22284,,,,,,,
,,13554,,,,,,,
,,23836,,,,,,,
,,18594,,,,,,,
,,21966,,,,,,,
,,21475,,,,,,,
,,22844,,,,,,,
,,22473,,,,,,,
,,22581,,,,,,,
,,23022,,,,,,,
,,22659,,,,,,,
,,22896,,,,,,,
,,22847,,,,,,,
,,22410,,,,,,,
,,18471,,,,,,,
,,18433,,,,,,,
,,23258,,,,,,,
,,22127,,,,,,,
,,18584,,,,,,,
,,18596,,,,,,,
,,22584,,,,,,,
,,23860,,,,,,,
,,23812,,,,,,,
,,23588,,,,,,,
,,18579,,,,,,,
,,18406,,,,,,,
,,21742,,,,,,,
,,17151,,,,,,,
,,22330,,,,,,,
,,18506,,,,,,,
,,22377,,,,,,,
,,18598,,,,,,,
,,22974,,,,,,,
,,23482,,,,,,,
,,8434,,,,,,,
,,22243,,,,,,,
,,18580,,,,,,,
,,13559,,,,,,,
,,18592,,,,,,,
,,22982,,,,,,,
,,21193,,,,,,,
,,14268,,,,,,,
,,22015,,,,,,,
,,22287,,,,,,,
,,23068,,,,,,,
,,22412,,,,,,,
,,12212,,,,,,,
,,22827,,,,,,,
,,22909,,,,,,,
,,18583,,,,,,,
,,22965,,,,,,,
,,22831,,,,,,,
,,22384,,,,,,,
,,18543,,,,,,,
,,22078,,,,,,,
,,22897,,,,,,,
,,18587,,,,,,,
,,23122,,,,,,,
,,23019,,,,,,,
,,22132,,,,,,,
,,23234,,,,,,,
,,19632,,,,,,,
,,18509,,,,,,,
,,22843,,,,,,,
,,21721,,,,,,,
,,23475,,,,,,,
,,21750,,,,,,,
,,21783,,,,,,,
,,23380,,,,,,,
,,22484,,,,,,,
,,21969,,,,,,,
,,12216,,,,,,,
,,18451,,,,,,,
,,17157,,,,,,,
,,22968,,,,,,,
,,21606,,,,,,,
,,22082,,,,,,,
,,22716,,,,,,,
,,22346,,,,,,,
,,23767,,,,,,,
,,21203,,,,,,,
,,23303,,,,,,,
,,11189,,,,,,,
,,22880,,,,,,,
,,21708,,,,,,,
,,23366,,,,,,,
,,21901,,,,,,,
,,22194,,,,,,,
,,21720,,,,,,,
,,22853,,,,,,,
,,23631,,,,,,,
,,23120,,,,,,,
,,21782,,,,,,,
,,10533,,,,,,,
,,18427,,,,,,,
,,15507,,,,,,,
,,23871,,,,,,,
,,10896,,,,,,,
,,22462,,,,,,,
,,7649,,,,,,,
,,22485,,,,,,,
,,18604,,,,,,,
,,22870,,,,,,,
,,15549,,,,,,,
,,22871,,,,,,,
,,18563,,,,,,,
,,14140,,,,,,,
,,22651,,,,,,,
,,22885,,,,,,,
,,23416,,,,,,,
,,23538,,,,,,,
,,22348,,,,,,,
,,23449,,,,,,,
,,15833,,,,,,,
,,12028,,,,,,,
,,18453,,,,,,,
,,22889,,,,,,,
,,22143,,,,,,,
,,11996,,,,,,,
,,23508,,,,,,,
,,18549,,,,,,,
,,21367,,,,,,,
,,22664,,,,,,,
,,19739,,,,,,,
,,22585,,,,,,,
,,18497,,,,,,,
,,22839,,,,,,,
,,23433,,,,,,,
,,22622,,,,,,,
,,22970,,,,,,,
,,21307,,,,,,,
,,22227,,,,,,,
,,12215,,,,,,,
,,20637,,,,,,,
,,18575,,,,,,,
,,23862,,,,,,,
,,21139,,,,,,,
,,21232,,,,,,,
,,20628,,,,,,,
,,23391,,,,,,,
,,22580,,,,,,,
,,455,,,,,,,
,,18542,,,,,,,
,,18535,,,,,,,
,,22967,,,,,,,
,,22842,,,,,,,
,,19641,,,,,,,
,,21786,,,,,,,
,,15830,,,,,,,
,,10531,,,,,,,
,,23051,,,,,,,
,,20540,,,,,,,
,,23393,,,,,,,
,,22556,,,,,,,
,,12224,,,,,,,
,,24052,,,,,,,
,,18550,,,,,,,
,,22360,,,,,,,
,,18420,,,,,,,
,,21597,,,,,,,
,,23480,,,,,,,
,,12235,,,,,,,
,,22647,,,,,,,
,,18495,,,,,,,
,,22012,,,,,,,
,,21959,,,,,,,
,,23109,,,,,,,
,,23099,,,,,,,
,,14137,,,,,,,
,,22286,,,,,,,
,,12007,,,,,,,
,,23951,,,,,,,
,,12041,,,,,,,
,,21874,,,,,,,
,,19639,,,,,,,
,,22016,,,,,,,
,,21733,,,,,,,
,,18452,,,,,,,
,,22372,,,,,,,
,,23040,,,,,,,
,,11190,,,,,,,
,,23443,,,,,,,
,,11193,,,,,,,
,,21363,,,,,,,
,,18507,,,,,,,
,,23300,,,,,,,
,,22972,,,,,,,
,,12223,,,,,,,
,,18499,,,,,,,
,,18404,,,,,,,
,,22882,,,,,,,
,,23477,,,,,,,
,,18591,,,,,,,
,,23096,,,,,,,
,,18555,,,,,,,
,,18948,,,,,,,
,,22388,,,,,,,
,,22635,,,,,,,
,,21388,,,,,,,
,,23781,,,,,,,
,,12008,,,,,,,
,,22393,,,,,,,
,,20542,,,,,,,
,,23101,,,,,,,
,,22229,,,,,,,
,,16404,,,,,,,
,,23374,,,,,,,
,,10535,,,,,,,
,,23868,,,,,,,
,,23452,,,,,,,
,,14283,,,,,,,
,,22582,,,,,,,
,,18556,,,,,,,
,,23377,,,,,,,
,,23645,,,,,,,
,,18566,,,,,,,
,,23450,,,,,,,
,,22894,,,,,,,
,,22486,,,,,,,
,,23052,,,,,,,
,,22900,,,,,,,
,,23321,,,,,,,
,,10897,,,,,,,
,,18486,,,,,,,
,,22634,,,,,,,
,,18492,,,,,,,
,,23211,,,,,,,
,,10534,,,,,,,
,,12201,,,,,,,
,,12236,,,,,,,
,,21602,,,,,,,
,,12034,,,,,,,
,,22864,,,,,,,
,,23795,,,,,,,
,,23872,,,,,,,
,,21138,,,,,,,
,,22579,,,,,,,
,,23808,,,,,,,
,,23008,,,,,,,
,,22846,,,,,,,
,,12210,,,,,,,
,,16153,,,,,,,
,,18424,,,,,,,
,,22825,,,,,,,
,,21839,,,,,,,
,,23128,,,,,,,
,,22557,,,,,,,
